CorrectClone	OldClone	matched_mother	matched_father
26040	25516	1909	2683
26041	25517	1909	2683
26042	25518	1909	2683
26043	25519	1909	2683
26044	25520	1909	2683
26046	25522	1909	2683
26047	25523	1909	2683
26050	25526	1909	2683
26051	25527	1909	2683
26057	25533	1909	2683
26059	25535	1909	2683
27207	26683	1950	2683
27224	26700	1950	2683
27225	26701	1950	2683
27231	26707	1950	2683
27237	26713	1950	2683
27238	26714	1950	2683
27242	26718	1950	2683
27243	26719	1950	2683
27244	26720	1950	2683
27247	26723	1950	2683
27251	26727	1950	2683
26923	26399	2048	2683
26924	26400	2048	2683
26925	26401	2048	2683
26926	26402	2048	2683
26928	26404	2048	2683
26930	26406	2048	2683
26933	26409	2048	2683
26934	26410	2048	2683
26935	26411	2048	2683
26936	26412	2048	2683
27012	26488	2048	2683
27014	26490	2048	2683
27015	26491	2048	2683
27016	26492	2048	2683
27017	26493	2048	2683
27018	26494	2048	2683
27019	26495	2048	2683
27020	26496	2048	2683
26436	25912	2066	2683
26443	25919	2066	2683
26444	25920	2066	2683
26448	25924	2066	2683
26467	25943	2066	2683
26471	25947	2066	2683
26834	26310	2066	2683
26837	26313	2066	2683
26841	26317	2066	2683
26842	26318	2066	2683
26853	26329	2066	2683
26855	26331	2066	2683
26857	26333	2066	2683
26860	26336	2066	2683
26868	26344	2066	2683
26578	26054	2283	2683
26584	26060	2283	2683
26592	26068	2283	2683
26595	26071	2283	2683
26603	26079	2283	2683
26605	26081	2283	2683
26608	26084	2283	2683
26610	26086	2283	2683
26611	26087	2283	2683
26614	26090	2283	2683
26620	26096	2283	2683
26621	26097	2283	2683
26624	26100	2283	2683
26696	26172	4593	2683
26698	26174	4593	2683
26699	26175	4593	2683
26700	26176	4593	2683
26703	26179	4593	2683
26704	26180	4593	2683
26705	26181	4593	2683
26707	26183	4593	2683
26708	26184	4593	2683
26710	26186	4593	2683
26711	26187	4593	2683
26713	26189	4593	2683
26714	26190	4593	2683
26715	26191	4593	2683
26716	26192	4593	2683
27663	27139	4593	2683
25260	24736	1863	6909
25264	24740	1863	6909
25269	24745	1863	6909
25271	24747	1863	6909
27155	26631	1863	6909
27159	26635	1863	6909
25361	24837	1909	6909
25363	24839	1909	6909
25364	24840	1909	6909
25365	24841	1909	6909
25366	24842	1909	6909
25368	24844	1909	6909
25371	24847	1909	6909
25372	24848	1909	6909
25373	24849	1909	6909
25374	24850	1909	6909
25375	24851	1909	6909
